RoleName,MonthlyPay,FirstName,LastName,Employee_ID
Chief Executive Officer,135000.0,Else,Iversen,700
Chief Financial Officer,119400.0,Michael,Krogh,578
Chief Operating Officer,116400.0,Laila,Skov,789
Chief Marketing Officer,113400.0,Poul,Simonsen,131
Chief Technology Officer,94400.0,Frank,Hansen,717
Senior Vice President of Sales,84900.0,Else,Iversen,787
Senior Vice President of Product Development,82900.0,Charlotte,Hviid,652
Senior Vice President of Human Resources,81800.0,Allan,Hviid,935
Vice President of Finance,78500.0,Michael,Krogh,176
Vice President of Marketing,74900.0,Michael,Krogh,513
Vice President of IT,73400.0,Lone,Jensen,683
Vice President of Product Design,69500.0,Tina,Leth,170
Vice President of Supply Chain,68500.0,Grethe,Christiansen,888
Director of Marketing,67600.0,Michael,Krogh,201
Director of IT,65400.0,Thomas,Bjerregaard,720
Director of Sales,64400.0,Marianne,Johansen,752
Director of Product Design,64100.0,Christian,Christensen,730
Director of Supply Chain,63400.0,Susanne,Mortensen,399
Senior Product Manager,61700.0,Kirsten,Andersen,793
Senior Marketing Manager,60500.0,Bent,Petersen,547
Senior Finance Manager,58300.0,Johnny,Bonde,196
Senior Operations Manager,55700.0,Kirsten,Andersen,287
Senior Sales Manager,55100.0,Anette,Lauritsen,360
Senior HR Manager,53000.0,Else,Iversen,450
Product Manager,52800.0,Johnny,Bonde,629
Marketing Manager,52800.0,Poul,Simonsen,795
Finance Manager,51400.0,Pia,Winther,461
Operations Manager,51200.0,Christian,Christensen,953
IT Manager,47700.0,Laila,Skov,985
Sales Manager,47600.0,Vibeke,Bach,590
Lead Product Designer,47600.0,Bodil,Sørensen,821
Lead Software Engineer,47500.0,Gitte,Hedegaard,794
Lead Marketing Specialist,45900.0,Johnny,Bonde,187
Lead Financial Analyst,45500.0,Martin,Nielsen,618
Lead Operations Analyst,44800.0,Grethe,Christiansen,891
Lead Sales Analyst,44700.0,Bent,Petersen,841
Lead HR Specialist,42400.0,Steen,Korsgaard,313
Product Designer,39000.0,Rikke,Haugaard,690
Marketing Specialist,37200.0,Hanne,Bjerre,465
Operations Analyst,36400.0,Martin,Nielsen,299
Sales Analyst,34900.0,Torben,Mikkelsen,855
HR Specialist,33900.0,Susanne,Mortensen,729
Junior Product Designer,32300.0,Erik,Olsen,929
Junior Software Engineer,31100.0,Vibeke,Bach,452
Junior Marketing Specialist,30900.0,Mette,Riis,429
Junior Financial Analyst,30200.0,Preben,Thomsen,579
Junior Operations Analyst,27000.0,Carsten,Lund,992
Junior Sales Analyst,26500.0,Bent,Petersen,344
Junior HR Specialist,24800.0,Pia,Winther,386
Customer Service Representative,24300.0,Helle,Bertelsen,389
